"","code_com","popnum"
"1181","018",5460
"1182","207",3300
"1183","076",3024
"1184","056",5534
"1185","615",3795
"1186","084",599
"1187","208",2336
"1188","142",964
"1189","611",1985
"1190","308",2054
"1191","015",4837
"1192","182",1420
"1193","835",4427
"1194","355",3886
"1195","334",5342
"1196","293",3466
"1197","314",4183
"1198","111",5484
"1199","143",207
"1200","116",3535
"1201","117",3092
"1202","052",5582
"1203","078",362
"1204","166",3116
"1205","411",4061
"1206","126",610
"1207","532",4085
"1208","127",3312
"1209","093",1801
"1210","395",1593
"1211","231",3984
"1212","121",3665
"1213","378",5040
"1214","140",3726
"1215","020",3217
"1216","082",1925
"1217","300",4270
"1218","313",4912
"1219","395",875
"1220","006",1214
"1221","447",5026
"1222","247",2434
"1223","084",114
"1224","244",1816
"1225","042",3813
"1226","270",341
"1227","368",2047
"1228","210",4012
"1229","033",5027
"1230","039",951
"1231","111",3617
"1232","240",4012
"1233","109",4628
"1234","429",1749
"1235","015",723
"1236","510",3334
"1237","394",673
"1238","641",617
"1239","526",1151
"1240","350",5012
"1241","151",1870
"1242","619",5615
"1243","430",3537
"1244","120",551
"1245","640",1214
"1246","289",5553
"1247","175",1799
"1248","115",807
"1249","236",3401
"1250","334",3194
"1251","228",1820
"1252","033",434
"1253","357",3046
"1254","457",4030
"1255","005",2633
"1256","005",3821
"1257","102",2797
"1258","224",1065
"1259","275",5438
"1260","267",414
"1261","557",665
"1262","318",774
"1263","218",47
"1264","162",152
"1265","174",2234
"1266","358",1711
"1267","317",2176
"1268","481",5182
"1269","189",2925
"1270","271",5275
"1271","233",466
"1272","305",1658
"1273","200",59
"1274","029",5484
"1275","150",941
"1276","230",3860
"1277","345",5545
"1278","296",1555
"1279","362",2254
"1280","070",4826
"1281","544",1981
"1282","046",3312
"1283","063",1353
"1284","203",955
"1285","131",4533
"1286","009",2669
"1287","357",2036
"1288","393",548
"1289","601",1063
"1290","024",3624
"1291","074",3252
"1292","282",3046
"1293","099",4903
"1294","308",4547
"1295","092",1093
"1296","041",3125
"1297","173",819
"1298","676",149
"1299","616",1531
"1300","062",941
"1301","389",3252
"1302","079",3910
"1303","076",716
"1304","080",4062
"1305","197",2329
"1306","230",4230
"1307","006",251
"1308","075",532
"1309","280",708
"1310","282",5119
"1311","068",149
"1312","501",5484
"1313","145",4353
"1314","386",2222
"1315","189",1873
"1316","270",501
"1317","341",3014
"1318","337",3348
"1319","070",3765
"1320","191",5596
"1321","331",1932
"1322","007",2066
"1323","616",3363
"1324","137",402
"1325","500",5402
"1326","190",149
"1327","267",4638
"1328","075",3158
"1329","077",5228
"1330","226",3402
"1331","327",3116
"1332","606",572
"1333","017",4728
"1334","057",2337
"1335","583",2404
"1336","510",4806
"1337","506",3624
"1338","201",1186
"1339","507",5182
"1340","577",4219
"1341","030",5632
"1342","055",3803
"1343","026",1313
"1344","124",3170
"1345","455",4820
"1346","053",3007
"1347","068",535
"1348","258",4099
"1349","011",1017
"1350","328",5479
"1351","100",5395
"1352","378",4459
"1353","504",5065
"1354","242",2146
"1355","471",3953
"1356","217",2434
"1357","025",1158
"1358","583",3388
"1359","008",4127
"1360","012",2891
"1361","079",3448
"1362","259",3354
"1363","309",5319
"1364","369",2094
"1365","168",3726
"1366","702",5201
"1367","273",3844
"1368","015",4145
"1369","085",3162
"1370","229",1085
"1371","294",4170
"1372","292",1477
"1373","527",3628
"1374","639",4105
"1375","215",4061
"1376","067",1843
"1377","130",335
"1378","251",998
"1379","112",1910
"1380","206",2830
"1381","217",5034
"1382","116",4468
"1383","070",3833
"1384","227",1723
"1385","249",2254
"1386","261",539
"1387","188",4144
"1388","043",2155
"1389","629",2424
"1390","338",300
"1391","573",1406
"1392","016",2648
"1393","352",5237
"1394","269",2291
"1395","066",361
"1396","395",5477
"1397","023",4162
"1398","359",2088
"1399","526",567
"1400","020",3203
"1401","110",5129
"1402","031",2495
"1403","018",1066
"1404","105",2108
"1405","300",4415
"1406","110",1893
"1407","179",706
"1408","669",4769
"1409","394",3520
"1410","631",588
"1411","193",4159
"1412","129",149
"1413","096",2852
"1414","013",2887
"1415","474",3466
"1416","207",402
"1417","676",5099
"1418","655",2556
"1419","737",3618
"1420","272",4605
"1421","024",4318
"1422","786",548
"1423","209",3844
"1424","205",3893
"1425","246",4662
"1426","137",3374
"1427","353",4124
"1428","014",961
"1429","101",387
"1430","062",4784
"1431","338",4811
"1432","205",1723
"1433","262",2280
"1434","092",209
"1435","340",3300
"1436","466",532
"1437","145",2475
"1438","500",284
"1439","004",2360
"1440","150",2610
"1441","282",3480
"1442","110",2517
"1443","582",3948
"1444","260",1083
"1445","296",1568
"1446","025",5255
"1447","055",5039
"1448","116",1152
"1449","338",5574
"1450","235",5346
"1451","274",3597
"1452","118",878
"1453","219",4566
"1454","046",293
"1455","447",1845
"1456","316",4
"1457","066",2871
"1458","629",264
"1459","141",1148
"1460","144",428
"1461","157",1110
"1462","006",1336
"1463","527",5086
"1464","018",5183
"1465","019",754
"1466","129",852
"1467","175",1141
"1468","529",2930
"1469","481",941
"1470","479",2047
"1471","014",4759
"1472","445",2556
"1473","280",4893
"1474","391",783
"1475","205",438
"1476","221",297
"1477","164",5237
"1478","255",1313
"1479","286",2036
"1480","233",5550
"1481","065",5313
"1482","181",678
"1483","347",4048
"1484","101",1562
"1485","253",5485
"1486","093",2694
"1487","199",400
"1488","458",1859
"1489","117",284
"1490","222",1083
"1491","375",3139
"1492","127",4451
"1493","527",3995
"1494","281",868
"1495","013",1406
"1496","367",637
"1497","102",1907
"1498","214",3484
"1499","021",2995
"1500","141",2054
"1501","054",3382
"1502","215",14
"1503","069",2222
"1504","148",3893
"1505","014",1298
"1506","087",581
"1507","039",1813
"1508","078",4546
"1509","604",2254
"1510","251",3499
"1511","476",998
"1512","061",4162
"1513","011",1629
"1514","161",1542
"1515","113",4645
"1516","240",2412
"1517","200",2495
"1518","026",207
"1519","476",617
"1520","210",531
"1521","032",4409
"1522","138",4465
"1523","090",4728
"1524","093",3652
"1525","324",5652
"1526","286",5182
"1527","576",4765
"1528","229",2192
"1529","203",1067
"1530","058",3802
"1531","316",4596
"1532","338",819
"1533","366",899
"1534","149",3068
"1535","284",3358
"1536","107",478
"1537","042",3718
"1538","401",1809
"1539","420",1488
"1540","315",1858
"1541","513",2358
"1542","439",5554
"1543","098",4457
"1544","136",5067
"1545","065",1247
"1546","289",850
"1547","267",3131
"1548","144",4599
"1549","135",3190
"1550","161",3334
"1551","282",4961
"1552","128",173
"1553","254",1420
"1554","309",5508
"1555","232",3441
"1556","308",2960
"1557","005",1813
"1558","537",3618
"1559","299",2033
"1560","104",4596
"1561","620",3494
"1562","407",2434
"1563","382",5396
"1564","254",4517
