"","cod_dept","area","pop"
"868","10","1533","356"
"869","11","752","36"
"870","11","2655","61"
"871","46","1081","262"
"872","61","861","242"
"873","77","1828","715"
"874","02","1047","782"
"875","52","349","18"
"876","85","925","729"
"877","08","1534","112"
"878","19","2591","265"
"879","34","2427","25006"
"880","54","2041","1086"
"881","23","4850","454"
"882","21","2583","153"
"883","79","1198","285"
"884","15","2415","703"
"885","78","134","1116"
"886","48","6366","759"
"887","24","1330","627"
"888","10","1368","382"
"889","76","1382","724"
"890","17","959","326"
"891","49","2157","348"
"892","61","544","143"
"893","27","658","460"
"894","62","394","2411"
"895","71","2526","9064"
"896","14","353","160"
"897","15","5343","583"
"898","29","1388","341"
"899","36","6353","664"
"900","88","1423","124"
"901","02","778","275"
"902","37","540","187"
"903","83","4218","2141"
"904","84","2026","2461"
"905","77","598","270"
"906","40","4575","4973"
"907","01","406","3828"
"908","70","2544","448"
"909","62","691","222"
"910","71","429","69"
"911","76","504","4182"
"912","27","1196","322"
"913","55","1102","158"
"914","82","4649","3772"
"915","08","774","196"
"916","69","1201","601"
"917","81","1453","4468"
"918","2A","2779","132"
"919","39","761","299"
"920","47","8122","23462"
"921","36","2784","358"
"922","60","647","1245"
"923","26","1017","3250"
"924","25","439","58"
"925","49","1254","618"
"926","59","480","775"
"927","15","3131","329"
"928","89","4195","873"
"929","65","263","180"
"930","30","829","524"
"931","91","467","879"
"932","04","2356","261"
"933","60","396","141"
"934","39","494","236"
"935","86","2039","660"
"936","85","3554","2039"
"937","21","1320","1250"
"938","38","1752","2362"
"939","46","2497","115"
"940","60","378","240"
"941","62","361","224"
"942","41","1300","236"
"943","31","1097","339"
"944","04","2055","120"
"945","60","724","1064"
"946","72","1034","240"
"947","03","4472","1729"
"948","77","134","335"
"949","88","1648","2342"
"950","35","652","988"
"951","62","530","254"
"952","35","3252","1307"
"953","08","798","49"
"954","47","1325","871"
"955","02","863","333"
"956","50","1391","406"
"957","79","1963","356"
"958","79","3608","1690"
"959","76","314","125"
"960","23","2540","371"
"961","24","2278","242"
"962","65","303","123"
"963","89","619","106"
"964","52","1272","1555"
"965","59","706","5858"
"966","23","1510","296"
"967","04","1895","207"
"968","66","871","4914"
"969","85","1737","736"
"970","22","49","914"
